,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,landing_aircraft_type,aircraft_body_type,aircraft_manufacturer,aircraft_model,landing_count,total_landed_weight,year,month
0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,30,1410000,2018,9
1,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,125,17787978,2018,9
2,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000,2018,9
3,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B739,3,491700,2018,9
4,Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Passenger,Wide Body,Airbus,A359,16,7301712,2018,9
5,Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,9,3710376,2018,9
6,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,30,12235650,2018,9
7,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,60,8778000,2018,9
8,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,283,40901600,2018,9
9,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,29,16066000,2018,9
10,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,27,8640000,2018,9
11,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,29,11020000,2018,9
12,Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E175,138,10374564,2018,9
13,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,118,65372000,2018,9
14,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,282,44358600,2018,9
15,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,30,25860210,2018,9
